graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"min-NvgraphEx","6","10","2.148","0","0","pagerankNvgraph","5","6.8","13.4","2.1186","0","0.0000015847432","pagerankNvgraph [dynamic]"
"min-NvgraphEx","6","10","2.148","0","0","pagerankNvgraph","5","6.8","13.4","0.7692000000000001","24","0.0000016219863999999999","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","1","281903","2312498","11.303799999999999","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","1","281903","2312498","11.1862","63","7.2128e-7","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","1","281903","2312498","1.7758000000000003","0","9.54872e-7","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","1","281903","2312498","0.404","1.8","0.0000025065560000000003","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","5","281904.2","2312502","11.3048","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","5","281904.2","2312502","11.1784","63","7.07562e-7","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","5","281904.2","2312502","3.2372","0","0.000001424098","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","5","281904.2","2312502","1.7434","9.4","0.00000351806","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","10","281906.4","2312507","11.3006","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","10","281906.4","2312507","11.1816","63","7.13146e-7","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","10","281906.4","2312507","3.5046","0","0.000001327198","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","10","281906.4","2312507","2.196","12","0.0000033711199999999995","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","50","281912.2","2312547","11.3002","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","50","281912.2","2312547","11.1792","63","7.11356e-7","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","50","281912.2","2312547","4.6","0","0.00000231028","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","50","281912.2","2312547","3.8196","21.2","0.00000458518","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","100","281919.8","2312597","11.293400000000002","0","0","pagerankNvgraph [static]"
